titulo;description;data
ESPECIAL INOVADORES NEGROS: 19 profissionais que estão promovendo a transformação digital em grandes corporações;Ao atuar nas mais diversas áreas, eles provam que inovação não está apenas nos laboratórios ou nos computadores […];18 de setembro de 2020
Presidente do Google conta como empresa está atuando na transformação digital no Brasil;Fábio Coelho: “O Brasil gosta muito do Google e o Google gosta de estar presente no Brasil” […];12 de setembro de 2020
Casas Bahia avança com transformação digital, Petlove contrata ex-CEO da Gympass, Cubo reabre e muito mais;Veja as novidades de tecnologia, inovação e transformação digital […];4 de agosto de 2020
Transformação Digital, Games, Mineração & Indústria;Investimentos, Saúde, Open Banking, MVP e Dados […];15 de julho de 2020
Segurança da Informação, Setor Público, Transformação Digital & Consumo e Serviços;Acompanhe os próximos webinars, lives e webcasts […];10 de julho de 2020
Futurecom, Mercado Financeiro, Transformação Digital, Telemedicina, Digitalização & Open Banking;Acompanhe os próximos webinars, lives e webcasts […];2 de julho de 2020
Meios de Pagamento, Futurecom, Cidades Inteligentes, Varejo, Home Center & Transformação Digital;Acompanhe os próximos webinars, lives e webcasts […];30 de junho de 2020
"Fernando Cirne, CEO da Locaweb, sobre a pandemia: ""A crise abriu as portas para a transformação digital""";Unidade que vende plataforma para comércio eletrônico teve, em abril, o melhor mês da história da companhia […];12 de junho de 2020
Inovação no Varejo, Privacidade, Transformação Digital e Cibersegurança;Acompanhe os próximos webinars, lives e webcasts […];9 de junho de 2020
Transformação digital, empreendedorismo online, Festival ABCR & Inovação;Acompanhe os próximos webinars, lives e webcasts […];5 de junho de 2020
Transformação Digital & Meios de Pagamento;Acompanhe os próximos webinars, lives e webcasts […];2 de junho de 2020
E-commerce, segurança, Big Data, inteligência artificial, IoT, transformação digital;Acompanhe os próximos webinars, lives e webcasts […];27 de maio de 2020
Trabalho remoto, transformação digital, futuro das startups & varejo;Acompanhe os próximos webinars, lives e webcasts […];26 de maio de 2020
Creative Legacy & Transformação Digital;Acompanhe os próximos webinars, lives e webcasts […];12 de maio de 2020
“A transformação digital é o novo normal”, diz Carlos Ferreirinha sobre mercado de luxo;Referência no mercado de luxo latino-americano, ele conversou sobre a crise com a jornalista Fabiana Scaranzi em live da Forbes Brasil […];14 de abril de 2020
Contadores enfrentam desafios na transformação digital;"Categoria tem dificuldade para digitalizar a forma como opera
[…]";28 de fevereiro de 2020
L'Oreal compra ModiFace em transformação digital;A ModiFace é especializada em realidade aumentada e inteligência artificial, uma área que a L’Oreal tem interesse […];18 de março de 2018
Bunge faz parceria para originação digital de grãos no Brasil;Medida abre uma nova opção ao produtor para comercializar online […];22 de setembro de 2020
Heineken digitaliza experiência de consumo consciente, Bradesco, Rappi, Tok&Stok, Neo Química, Housi, Havaianas & Muito Mais;Veja as novidades de tecnologia, inovação e transformação digital […];16 de setembro de 2020
Vitor Magnani: O papel das universidades corporativas na economia digital;No Brasil, investimentos privados em educação e capacitação são historicamente baixos […];1 de setembro de 2020
Estreia da CyberLabs, Natura investe em cheiro digital, BRF, Paulo Veras, Gerdau, Neo Química, Magalu & Mais;Veja as novidades de tecnologia, inovação e transformação digital […];26 de agosto de 2020
Vitor Magnani: Nova cédula de R$ 200, a contramão diante da incipiente digitalização;Num momento em que as transações financeiras precisariam ser cada vez mais online, governo federal anuncia novo papel moeda […];11 de agosto de 2020
A transformação do trabalho: do home office para o anywhere office;Como a atual experiência pode mudar a vida dos escritórios e ambientes das empresas – para melhor […];6 de agosto de 2020
Digitalks 2020, Educação, Open Innovation Week, StartUp of You, Ativismo Digital, LGPD, IoT, Dados e mais;Acompanhe os próximos webinars, lives e webcasts […];27 de julho de 2020
Open Banking, Neon, BeApp, Vale do Dendê, FedEx, iFood, FitBank, Arezzo, CaZco Digital & JBS;Veja as novidades de tecnologia, inovação e transformação digital […];17 de julho de 2020
EY aposta em consultoria digital e transforma clientes na crise;Companhia adota modelo bi-modal, que inclui o processo tradicional ao mesmo tempo em que investe em novas formas de prestar serviços […];15 de julho de 2020
Direito Digital, Profissões do Futuro, Varejo & Eventos Corporativos;Acompanhe os próximos webinars, lives e webcasts […];6 de julho de 2020
EXCLUSIVO: Lello dobra participação em assembleias com plataforma digital;Tecnologia ajudou a melhorar processos e aumentar o engajamento nestas reuniões, que antes do distanciamento social tinham uma adesão pífia […];2 de julho de 2020
Futurecom, Modelos de Nuvem & Crianças no Mundo Digital;Acompanhe os próximos webinars, lives e webcasts […];1 de julho de 2020
Victor Lazarte, da Wildlife, sobre a pandemia: “Levamos toda a nossa vida para o mundo digital e nos demos conta de que funciona”;Cofundador da desenvolvedora de games ao lado do irmão, Arthur, fala sobre como está atravessando a crise provocada pela Covid-19 […];26 de junho de 2020
Ensino no Ambiente Digital, Mulheres na Tecnologia, Aceleração, Nuvem & Open Innovation;Acompanhe os próximos webinars, lives e webcasts […];26 de junho de 2020
Futurecom Digital Summit & Oiweek;Acompanhe os próximos webinars, lives e webcasts [ […];25 de junho de 2020
Nestlé digitaliza varejistas de bairro;Programas de aceleração, mentorias, financiamentos e plataformas colaborativas […];19 de junho de 2020
Porto Digital investe na criação de talentos locais para a economia digital;Ecossistema de inovação pioneiro em Recife é base de empresas de projeção mundial […];12 de junho de 2020
Liferay Digital Experience Conference Online;Acompanhe os próximos webinars, lives e webcasts […];22 de maio de 2020
Manaus entra no mapa da inovação digital;Sucesso do ecossistema implantado no Porto Digital de Recife inspira polo na capital amazonense […];17 de maio de 2020
Governo Digital, Open Innovation Week & Startup Day;Acompanhe os próximos webinars, lives e webcasts […];15 de maio de 2020
FORBES Insider: Governo digital, logística 4.0, Neoway, 99Food;Com orçamento anual de R$ 50 milhões, Luis Felipe Monteiro diz que objetivo é chegar ao final de 2022 completamente online […];4 de maio de 2020
O que vem após a pandemia? Especialistas apostam no Renascimento Digital;Crises costumam marcar inícios de novas ordens mundiais, e o mundo segue neste caminho atualmente […];17 de abril de 2020
Alexandre Garcia: “Buscamos uma transformação cultural”;CEO da CEL.LEP fala sobre o propósito de ir muito além da mudança digital […];10 de março de 2020
Rodrigo Galvão fala sobre a transformação cultural da Oracle;O presidente da multinacional no Brasil não subestima a concorrência das startups e investe em gestão pautada em pessoas […];20 de fevereiro de 2020
Criadores do Porto Digital apoiam reinvenção do ecossistema de inovação em Manaus;"Objetivo é fazer com que grandes empresas olhem para a cidade como um pólo fornecedor de soluções de tecnologia
[…]";18 de fevereiro de 2020
Dinamismo da economia digital vai transformar o perfil dos investimentos;Para Bruno Rondani, CEO da 100 Opens Startups, a tendência é aportes cada vez mais distribuídos […];7 de fevereiro de 2020
KPMG Brasil exporta modelo de consultoria para a era digital;A gigante de consultoria quer ter maior participação nos processos de transformação digital de seus clientes […];9 de janeiro de 2020
Último dia do FORBES Start fala de digitalização de dinheiro e formas de interação entre consumidor e produto;Discussão levou ao palco executivos do C6 Bank e do EBANX, entre outros […];27 de novembro de 2019
FORBES Start Dia #2: como aprenderemos a trabalhar na era digital?;Uma das palestrantes, Renee Mauldin, é chief people officer do Nubank, uma das startups mais desejadas como empregadora […];25 de novembro de 2019
Andrea Iorio lança guia de competências humanas para a era digital;Ex-country manager do Tinder e líder digital da L’Óreal fala sobre as habilidades que executivos precisam ter para modernizar suas organizações […];6 de setembro de 2019
Descubra o que é a revolução digital;Os principais conceitos e ferramentas que sua empresa precisa conhecer e aplicar […];27 de dezembro de 2018
4 dicas para sua empresa entrar na era digital;O que antes era um diferencial, agora é indispensável […];15 de junho de 2017
Tendências globais pós-pandemia, Advent, CESAR, 99, Locaweb, Facebook & Muito Mais;Veja as novidades de tecnologia, inovação e transformação digital […];30 de setembro de 2020
Pontos de apoio para startups de delivery, Gympass, Nespresso, C&A, Movile & Muito Mais;Veja as novidades de tecnologia, inovação e transformação digital […];23 de setembro de 2020
Para Fabio Coelho, do Google, Black Friday 2020 será melhor do que em anos anteriores;Executivo diz que brasileiros passaram por uma transformação digital que, em outros países, levaria anos […];15 de setembro de 2020
NotCo capta US$ 85 mi, Santander, Azul, Cyrela, Petlove & Muito Mais;Veja as novidades de tecnologia, inovação e transformação digital […];10 de setembro de 2020
Recarga do Bilhete Único com Mercado Pago, Globoplay, CI&T, Vivara, Vivo, Stone & Muito Mais;Veja as novidades de tecnologia, inovação e transformação digital […];2 de setembro de 2020
99 reduz assédio, Hash lança pagamento por link, Magalu, Dell, Rappi, Creditas e muito mais;Veja as novidades de tecnologia, inovação e transformação digital […];19 de agosto de 2020
EATIZ cria tecnologia para reduzir interação social, Accenture compra Organize Cloud Labs, Natura investe na Singu e muito mais;Veja as novidades de tecnologia, inovação e transformação digital […];12 de agosto de 2020
Bexs fecha com PayMyTuition, Twitter na luta contra a violência feminina, aporte na Magnetis e muito mais;Veja as novidades de tecnologia, inovação e transformação digital […];29 de julho de 2020
XP colhe resultados de evento, TotalPass pivota, Kovi se recupera na crise e mais;Veja as novidades de tecnologia, inovação e transformação digital […];22 de julho de 2020
Lady Driver + Rappi, Schutz, Sinqia, Hackers & Mobees;Veja as novidades de tecnologia, inovação e transformação digital […];14 de julho de 2020
Mobly, Samsung, Colab & Farfetch;Veja as novidades de tecnologia, inovação e transformação digital […];13 de julho de 2020
Magalu, a55, Spotify, Fraudes Online, Toyota, E-Books, Cia. Hering, InCor, IBM & Beta-i;Veja as novidades de tecnologia, inovação e transformação digital […];9 de julho de 2020
Zee.Dog, Deezer, Embraer, HCor, Olist, BigDataCorp, FastBlock, Housi, ConectarAGRO & Evino;Veja as novidades de tecnologia, inovação e transformação digital […];3 de julho de 2020
Alta demanda faz Locaweb antecipar lançamento da Nextios;Crise aumentou a procura por comércio eletrônico, desenvolvimento de aplicativos e transformação digital […];23 de junho de 2020
Hent, Avatim, Meios de Pagamento & RuaDois;Veja as novidades de tecnologia, inovação e transformação digital […];22 de junho de 2020
Governo de SP, LadyDriver, Paquera Online, Cash.in, BizCapital & mLabs;Veja as novidades de tecnologia, inovação e transformação digital […];19 de junho de 2020
MRV, Bike Itaú, Syngenta, AMARO, Raízs, Nestlé & Prefeitura de SP;Veja as novidades de tecnologia, inovação e transformação digital […];16 de junho de 2020
Eztec, Passei Direto, Pipo Saúde & Airbnb;Veja as novidades de tecnologia, inovação e transformação digital […];12 de junho de 2020
Gympass, Cognizant, Uber, VOLL, Happn & Rappi;Veja as novidades de tecnologia, inovação e transformação digital […];10 de junho de 2020
Movimento Black Money, Unilever + Eats For You, Squid, Fab Lab & Stefanini Capital Market;Veja as novidades de tecnologia, inovação e transformação digital […];8 de junho de 2020
Agrofy, Anatel & HealthBit;Veja as novidades de tecnologia, inovação e transformação digital […];3 de junho de 2020
Inbenta, Google, SBC, TeamViewer, Accenture, IoT & ABIT;Veja as novidades de tecnologia, inovação e transformação digital […];29 de maio de 2020
"César Gon, CEO da CI&T, sobre liderança em tempos de guerra: ""A sociedade pós-pandemia não vai esperar a reinvenção das empresas""";Fundador da multinacional brasileira de transformação digital conta como se reorganizou para continuar operando durante a crise […];29 de maio de 2020
Dassault Systèmes, Atento & Mindminers;Veja as novidades de tecnologia, inovação e transformação digital […];26 de maio de 2020
Via Varejo, Tapete Azul, Yuca & home office;Veja as novidades de tecnologia, inovação e transformação digital […];25 de maio de 2020
Huawei Brasil, ABES, Dados do Bem, IATA, Cognizant & Printi;Veja as novidades de tecnologia, inovação e transformação digital […];22 de maio de 2020
Inteligência artificial, e-commerce & Hash;Tecnologia, inovação e transformação digital […];21 de maio de 2020
Deloitte, BMW, Psicologia Viva & Oracle;Tecnologia, inovação e transformação digital […];20 de maio de 2020
GetNinjas, Vittude, Porsche & BEx;Tecnologia, inovação e transformação digital […];19 de maio de 2020
Vivo, Pride Bank, Planet Smart City & Mycon;Tecnologia, inovação e transformação digital […];18 de maio de 2020
EBANX, Dragonlearn & Gupy;Tecnologia, inovação e transformação digital […];14 de maio de 2020
Sound Cloud Live, Cabify & Apto;Tecnologia, inovação e transformação digital […];13 de maio de 2020
Fundação Dom Cabral, Futurecom, Amaro e Logicalis;Tecnologia, inovação e transformação digital […];12 de maio de 2020
Via Varejo compra empresa de tecnologia logística ASAPLog;Empresa afirmou que a aquisição foi “um passo importante na transformação digital” […];27 de abril de 2020
“O segredo é inovar para poder fazer mais com menos”;Nadir Moreno, CEO da UPS Brasil, fala sobre empreendedorismo, inovação e transformação digital […];14 de abril de 2020
Forbes estreia série de vídeos e podcasts em janeiro;Conteúdo falará de inovação, negócios, transformação digital e economia compartilhada […];19 de dezembro de 2019
Carrefour Brasil vai investir cerca de R$ 2 bi por ano até 2024;Objetivo é acelerar sua transformação digital e expandir rede de lojas físicas […];14 de novembro de 2019
Estratégia omnichannel aumenta vendas em 241%;Magazine Luiza é pioneira na transformação digital no Brasil […];4 de abril de 2019
Conheça a face mais visível da revolução tecnológica;Transformação digital mudou a forma como interagimos com o setor de serviços […];29 de dezembro de 2018
