;titulo;description;data
0;Pandemia leva empresas a redesenhar funções e priorizar transformação digital, diz pesquisa;"... que 41% dos executivos estão investindo em esforços de transformação digital, enquanto 31% estão focados em e-commerce. 
A Robert Half... — ... de documentação e assinaturas de forma totalmente digital, sem a necessidade receber os profissionais; ou o colaborador da área de vendas...";há 3 dias
1;Transformação digital ajuda marca de camisetas durante a pandemia;"Transformação digital ajuda marca de camisetas durante a pandemia
Dois empresários transformaram o amor pelo café em negócio... — ... por conta da pandemia. Hoje, ele é o nosso maior canal de venda”, explica Milena.
Mas a transformação digital ainda não foi...";27/09/2020 10h31
2;Transformação digital ajuda marca de camisetas durante a pandemia;Empreendedores vendem modelos inspirados na cultura café e contam a história da marca no VC no PEGN.;27/09/2020 07h11
3;Transformação digital no agronegócio;O professor Gil Giardelli, de SP, um dos palestrantes do Agrolab, explica a transformação digital no mundo rural.;21/09/2020 09h46
4;‘Mundo digital: museus em transformação’, esse é o tema da Primavera de Museus;O evento chega a 14ª edição e este ano, por conta da pandemia, vai ser diferente, com atividades e visitas online.;24/09/2020 15h34
5;Transformação digital renova editora de palavras cruzadas;... com que a gente criasse uma unidade de negócio e partisse com tudo pra essa nova etapa da história da editora de transformação digital... — ... de marketing digital e três funcionários da área de tecnologia. Juntos desenvolveram um site para fazer palavras cruzadas online...;01/09/2020 23h25
6;Sebrae promove palestra sobre transformação digital em Governador Valadares;Evento será na próxima segunda-feira, dia 31. Saiba como participar.;28/08/2020 13h45
7;Como fazer a transformação digital no seu pequeno negócio? Veja dicas do Sebrae;Gerente da Unidade de Inovação da instituição, Paulo Renato Macedo Cabral mostra que a inovação no mundo digital não é só possível, mas também barata e rápida.;01/09/2020 13h33
8;Pandemia antecipa transformação digital;Pandemia antecipa transformação digital;28/07/2020 16h19
9;Consultora digital explica a diferença entre digitalização e transformação digital;Eliana Sá diz que processo pode ajudar empresários a melhorarem os resultados.;22/07/2020 09h32
10;Feiras agropecuárias passam por transformação e se tornam digitais com pandemia;"... de feiras online.
Um exemplo de evento que passa por essa transformação é a Expocafé, que acontece em Três Pontas (MG) há 23 anos... — ... e 2021”, justificou.
A Expocafé digital contou com a adesão de 40 expositores. Em três dias, a plataforma virtual contabilizou cerca...";13/08/2020 11h55
11;"Saiba como começar a transformação digital de uma empresa; especialista dá dicas";"Saiba como começar a transformação digital de uma empresa; especialista dá dicas
Ao contrário do que muito empreendedor pensa... — ..., transformação digital não significa apenas estar presente na internet e nas redes sociais. Em um ambiente de retração econômica...";28/06/2020 11h04
12;"Saiba como começar a transformação digital de uma empresa; especialista dá dicas";No atual cenário de retração econômica, a transformação digital pode significar a sobrevivência de uma empresa.;28/06/2020 07h57
13;'TransformAção Digital' promove lives e oficinas para estimular a economia em Caruaru;"... o ""TransformAção Digital"". O projeto é um programa de qualificação online que visa estimular a economia e apoiar comerciantes locais que estão... — ... precisando se reinventar tecnologicamente em tempos de Covid-19. 
Serão promovidas lives e oficinas digitais transmitidas...";11/06/2020 22h09
14;Pequenas Empresas & Grandes Negócios - Edição de 27/09/2020;... por videoconferência. Transformação digital dá impulso à marca de camiseta. Negócios mudam de categoria para diminuir custos....;27/09/2020 07h46
15;Plano de retomada econômica de Mogi foca em ações de baixo custo e transformação digital;Projeto foi apresentado pela administração municipal e visa apoiar comerciantes e empresários prejudicados pela pandemia do coronavírus.;26/05/2020 13h38
16;UFSCar recebe na sexta (6) evento gratuito sobre transformação digital em São Carlos;"... gratuito sobre transformação digital, em São Carlos (SP). As inscrições podem ser feitas pela internet e quem comparecer receberá... — ... entre profissionais líderes do mercado, que foram envolvidos e impactados pela transformação digital.
As atividades têm início às 9h, no...";06/03/2020 12h28
17;Palestra sobre Transformação Digital será realizada nessa segunda (17), em Ipatinga;O evento será realizado a partir das sete da noite, no auditório da associação comercial de Ipatinga./ ( rua Uberlândia, 331 - Centro,;14/02/2020 11h05
18;Palestra sobre transformação digital será oferecida a estagiários em Petrolina;"... Petrolina com a palestra 'Transformação Digital', ministrada pela analista com mestrado em Gestão do Comportamento, Conceição Moraes... — ...:
Programação
14h às 15h – Credenciamento
15h às 15:15 – apresentação sobre o IEL
15h15 às 16h45 – Palestra sobre Transformação Digital – Conceição Moraes
16h45 às 17h – Entrega de brindes
 ...";16/08/2019 20h30
19;‘No Radar’: inclusão digital garante igualdade de condições no estudo e mercado de trabalho;"No Radar: inclusão digital garante igualdade de condições no estudo e mercado de trabalho
As ferramentas tecnológicas funcionam... — ..., a transformação social e a capacitação profissional.
A Pesquisa Nacional por Amostra de Domicílios (Pnad) do Instituto Brasileiro...";há 4 dias
20;Globoplay + canais ao vivo une todos os canais Globo em um só lugar;"... e Combate também vão estar disponíveis. 
Com essa transformação digital, a Globo se aproxima ainda mais dos brasileiros. A tela... — ... a mãe.
Com a TV e o mundo digital cada vez mais interligados, o poder de escolha vai se multiplicando. É impossível saber...";há 1 dia
21;Transformação digital exige que profissionais abandonem velhos hábitos;A coluna de Inovação mostra que o profissional que já está no mercado de trabalho, além de aprender, também precisa exercitar o ‘desaprendizado’.;26/09/2019 09h18
22;INSS fala sobre processo de transformação digital;Ação visa diminuir custos e otimizar serviços.;25/06/2019 17h29
23;Semana da Transformação Digital vai oferecer seminários gratuitos em Florianópolis;"Florianópolis vai receber a Semana da Transformação Digital, evento que pretende auxiliar micro e pequenas empresas a respeito... — ... de vender os produtos e o que muda na gestão das empresas com a transformação digital.
Os interessados podem fazer as inscrições pela...";03/06/2019 20h01
24;Empresa especializada em transformação digital abre inscrições para 40 vagas de estágio em Campinas;..., especializada em transformação digital, está com as inscrições abertas até sexta-feira (20) para 40 vagas em seu programa...;18/09/2019 15h12
25;Fundação promove palestra sobre liderança na transformação digital das empresas, em João Pessoa;... na transformação digital de empresas acontece dia 23 de maio, em João Pessoa. O evento, promovido pela Fundação Dom Cabral, será... — ... contexto da transformação digital”, a palestra será ministrada pelo Doutor em Sociologia, Paulo Almeida, que vai falar sobre desafios...;20/05/2019 23h17
26;Quadro Universo Digital fala sobre transformação digital;Especialista em Governos aberto Thiago Ávila faz observações.;02/01/2019 10h46
27;Seminário sobre transformação digital nas empresas acontece em Aracaju;"Evento em Aracaju vai reunir especialistas na área de transformação digital
O Sebrae em Sergipe promoverá nesta segunda-feira (26... — ...) e na terça-feira (27) em Aracaju o Seminário Transformação Digital e Competitividade nos Pequenos Negócios para tratar...";26/11/2018 13h34
28;Micro e pequenas empresas se reinventam com a pandemia;"... de e-commerce da ESPM. 
“O mercado não vai voltar mais a ser o que era antes. A transformação digital veio para ficar”, afirma... — ... digital. 
“Todo mundo quer aprender a vender, a se conectar ao delivery, a entregar as coisas em casa ou entender o que o cliente...";há 4 dias
29;Prever o futuro para não ser engolido pela transformação digital;... cada vez maior com que as atividades cotidianas e negócios são transformados. Quem não estiver atendo, pode ser engolido...;17/07/2018 00h14
30;Brechó recupera parte de faturamento com parcerias e digitalização da loja;... dos clientes. A transformação digital começou com lives no Instagram da loja. Depois, a partir do exemplo de grandes redes do varejo...;21/06/2020 11h39
31;Iniciativa oferece capacitação para empresários de Blumenau;... de ajudar pequenos e médios empresários a se reinventarem durante o período de isolamento social ao apoiar a transformação digital... — ... de todas as vertentes e mercados capacitando esse empresário para poder digitalizar o negócio em vendas e em presença digital. A segunda...;03/05/2020 17h01
32;Impacto da transformação digital no mercado de trabalho é debatido no 2º Painel CBN em Macapá;... da transformação digital no mercado de trabalho foi assunto amplamente discutido no 2º Painel CBN Amazônia, nesta quarta-feira (28... — ... com Andrade, empresas, acadêmicos, pessoas que têm interesse em investir no mercado digital precisam acompanhar as tendências...;05/12/2018 17h09
33;Huawei não conseguiu melhorar segurança dos seus equipamentos de rede, diz agência do Reino Unido;"... digital apontados por uma agência do Reino Unido, de acordo com um relatório divulgado nesta quinta-feira (1º).
O Centro Nacional... — ... de ""interferência do Estado chinês"".  
""O relatório reconhece que, embora nosso processo de transformação de software esteja...";há 3 dias
34;Pequenas Empresas & Grandes Negócios: contatos de 27/09/2020;".../
www.patrimar.com.br/
Veja a reportagem: Transformação digital ajuda marca de camisetas durante a pandemia
Use Café
Instagram... — ...: www.facebook.com/ilbaristacafesespeciais
www.ilbarista.com.br
Veja a reportagem: Experiência culinária digital oferece aula com chef renomado...";27/09/2020 10h40
35;Evento em Aracaju vai reunir especialistas na área de transformação digital;Participação é gratuita.;26/11/2018 10h55
36;Congresso vai discutir liderança na era da transformação digital;".... 
Os palestrantes serão Gil Giardelli, especialista em cultura digital, difusor de conceitos e atividades ligados à sociedade em rede... — ..., economia criativa e inovação digital; Leyla Nascimento, presidente do Conselho Deliberativo ABRH Brasil e secretaria geral da Word...";18/11/2017 12h46
37;Impacto da transformação digital no mercado de trabalho é debatido no 2º Painel CBN, no AP;Evento realizado pela Rádio CBN, do Grupo Rede Amazônica, ocorreu nesta sexta-feira (28), no auditório do Senac.;29/11/2018 16h44
38;Prever o futuro para não ser engolido pela transformação digital;Entender o que vai acontecer nos próximos anos não é coisa de vidente.;08/07/2018 08h04
39;Impacto da transformação digital no mercado de trabalho é debatido no 2º Painel CBN, no AP;Evento realizado pela Rádio CBN, do Grupo Rede Amazônica, ocorreu nesta sexta-feira (28), no auditório do Senac.;29/11/2018 10h57
40;Impacto da transformação digital no mercado de trabalho é debatido no 2º Painel CBN, no AP;Evento será realizado pela Rádio CBN, do Grupo Rede Amazônica, no auditório do Senac.;29/11/2018 18h38
