;titulo;data
0;Investimentos em transformação digital prepararam Bradesco para cenário difícil, diz Planner;24/09/2020 - 15:34
1;Revogaço e transformação digital fortalecem a economia, diz ministro da Secretaria-Geral;25/08/2020 - 21:52
2;Governo faz parceria com empresa para ações de transformação digital;27/05/2020 - 20:34
3;"Raia Drogasil: investimentos em transformação digital já começam a render; balanço agrada analistas";20/02/2020 - 15:55
4;MEC lança plano para transformação digital da pasta em 2020/2021;11/02/2020 - 11:42
5;Renault fecha parceria com plataforma global de mídia e inicia estratégia de transformação digital;15/11/2019 - 12:47
6;Itaú acelera transformação digital com aquisição de R$ 575 milhões;01/11/2019 - 0:46
7;BrMalls aposta em transformação digital para não perder onda do e-commerce, afirma XP;08/10/2019 - 12:22
8;Conselho da Petrobras elege diretor-executivo de Transformação Digital e Inovação;26/09/2019 - 9:10
9;Banco Pine: Transformação digital traz boas perspectivas, diz Planner;25/09/2019 - 17:30
10;Transformação digital é agenda prioritária do governo, diz secretário;19/09/2019 - 15:37
11;Startup desburocratiza setor imobiliário com proposta de transformação digital;08/07/2019 - 16:42
12;Raízen ganha prêmio Agile Trends com caso de sucesso de transformação digital;05/06/2019 - 19:31
13;"Carrefour sobe com venda alimentos on-line; BTG vê foco em transformação digital";01/02/2019 - 12:17
14;Programa propõe ações para transformação digital na economia;24/03/2018 - 12:19
15;Magazine Luiza: entrada em telefonia reforça a transformação digital, afirma Plural;01/02/2018 - 12:25
16;Kroton: Furtado assume vice-presidência de Tecnologia e Transformação Digital;23/10/2017 - 21:54
17;Itaú: melhor caminho para sucesso de estratégia digital é a transformação, diz BTG;21/08/2020 - 20:11
18;Bunge anuncia parceria para permitir originação digital de grãos no Brasil;22/09/2020 - 14:19
19;O primeiro banco digital focado na comunidade LGBTI+ é brasileiro;14/09/2020 - 17:50
20;Heineken cria vice-presidência de Digital & Tecnologia no Brasil;09/09/2020 - 15:38
21;Via Varejo é candidata a liderar próxima inclusão digital, diz Safra;28/08/2020 - 18:29
22;Quando a parceria público-privada funciona para as universidades: o caso do Porto Digital;26/07/2020 - 13:00
23;Google vai investir US$ 10 bilhões na digitalização da Índia;13/07/2020 - 10:09
24;Coronavírus acelera futuro digital de bancos globais;26/06/2020 - 16:05
25;Em posse, Fabio Faria diz que buscará pacificação e inclusão digital;17/06/2020 - 14:25
26;Banco Central da França realizou testes “bem-sucedidos” de um euro digital;21/05/2020 - 8:58
27;Banco central dos Países Baixos argumenta sobre euro digital em novo relatório;24/04/2020 - 9:03
28;Plataforma digital beneficia idosos que utilizam serviços públicos;14/03/2020 - 12:43
29;Detrans terão prazo até junho para adequação à CRLV digital;08/01/2020 - 12:12
30;CVC precisa viajar para o digital, avalia Itaú BBA;13/12/2019 - 21:36
31;Membros do BCE debatem criação de moeda digital;11/12/2019 - 11:18
32;Governo anuncia versão digital de diplomas com custo 80% menor;10/12/2019 - 21:54
33;Banrisul digital sustenta recomendação de compra;04/12/2019 - 17:53
34;Governo pretende digitalizar mais de 2 mil serviços até final de 2020;25/09/2019 - 14:13
35;Governo pretende digitalizar mais de 2 mil serviços até final de 2020;25/09/2019 - 12:48
36;Governo digitalizou 315 serviços em 2019;22/08/2019 - 19:55
37;Via Varejo contrata presidente do Mercado Livre para consolidar digitalização;15/07/2019 - 10:00
38;De olho na praticidade dos associados, Sicredi cria conta digital;23/05/2019 - 15:31
39;Empresas e governo defendem medidas para estimular digitalização;24/04/2019 - 19:33
40;Governo pretende digitalizar mais de mil serviços para a população;21/03/2019 - 20:27
41;Caio Davidoff: A transformação dos meios de pagamento pela Inteligência Artificial;21/12/2018 - 17:52
42;Decreto institui a Rede Nacional de Governo Digital;26/11/2018 - 17:31
43;McDonald’s abre 1ª loja digital;27/07/2017 - 20:56
44;Bradesco vai lançar novo banco digital nos próximos meses;05/04/2017 - 22:56
45;Maioria de executivos acha que Covid mudou empresas para sempre;03/10/2020 - 10:05
46;BNDES lança linha de crédito voltada para Indústria 4.0;29/09/2020 - 20:18
47;Banco Inter lança podcast gratuito sobre investimentos;24/09/2020 - 16:17
48;Natura adere ao Pacto Global da ONU;22/09/2020 - 11:33
49;Kroton abre vagas na área de tecnologia com salários de até R$ 8 mil;22/09/2020 - 11:14
50;Banco Inter adere ao Pacto Global da ONU;21/09/2020 - 18:41
51;OLX disponibiliza recurso de vídeo para anúncios de imóveis e automóveis;16/09/2020 - 11:33
52;Confira as principais notícias dos jornais desta segunda-feira;14/09/2020 - 6:54
53;Ivan Murias será o novo CEO da Valid;09/09/2020 - 17:36
54;BTG está bem posicionado para capturar explosão de investidores na Bolsa, avalia Safra;08/09/2020 - 19:12
55;Indiana Tata avança e-commerce para concorrer com Amazon na Índia;26/08/2020 - 12:45
56;Shoppings: depois do e-commerce, qual será a próxima fonte de receita?;21/08/2020 - 11:18
57;B3, CERC, CIP e CRDC adotam blockchain Corda para registro de duplicatas;20/08/2020 - 11:03
58;C&A tem prejuízo de R$ 192,1 milhões no 2º trimestre;19/08/2020 - 19:30
59;Venâncio Velloso: Open Innovation – o caminho mais rápido para 2020;19/08/2020 - 6:16
60;Sinqia: estratégia de investir durante a crise foi certeira, aponta Inter Research;14/08/2020 - 16:41
61;Brasil ocupa 4ª posição no primeiro índice iberoamericano sobre Govtec;13/08/2020 - 14:47
62;Associação Brasileira de Criptoeconomia (ABCripto) lança Código de Autorregulação para criptoativos;13/08/2020 - 9:02
63;Lucas Röttgering: O novo normal é uma mentira;12/08/2020 - 21:56
64;Orlando Cintra: Por que veremos mais M&As entre corporações e startups?;10/08/2020 - 15:01
65;ERP: como a tecnologia pode contribuir com os resultados de uma empresa;05/08/2020 - 15:21
66;Aberta consulta pública para Política Nacional de Informação em Saúde;04/08/2020 - 17:19
67;Petrobras: petróleo em baixa e efeitos da covid-19 explicam prejuízo;31/07/2020 - 18:40
68;Ricardo Baraçal: a pandemia e as fintechs já mudaram o comportamento de compra de câmbio;30/07/2020 - 18:33
69;Sem controle da covid-19, América Latina não vai recuperar economia;30/07/2020 - 17:48
70;Com tecnologia blockchain e digitização, Growth Tech deseja abalar o setor imobiliário;28/07/2020 - 13:39
71;Carteira pública da Mercado Bitcoin receberá doações de bitcoin para a Blackrocks;24/07/2020 - 13:26
72;PIX: Quem ficar de fora vai perder muito mais que oportunidades;21/07/2020 - 17:39
73;SulAmérica anuncia volta de Victor Bernardes à empresa como líder das operações de Vida e Previdência;20/07/2020 - 14:27
74;Orlando Cintra: 4 princípios para acelerar a rota para inovação integrando gigantes e startups;16/07/2020 - 17:03
75;"Venâncio Velloso: Disrupção no mercado financeiro; um filme que já vimos antes?";15/07/2020 - 17:23
76;Empresas oferecem mais de 360 vagas em diversas áreas de atuação;15/07/2020 - 9:10
77;Novo ecossistema comercial Mega Catalyst usará tecnologia do IOTA e Corda;13/07/2020 - 11:08
78;Log-In anuncia Marcio Arany como novo diretor presidente;06/07/2020 - 15:49
79;Quais são os legados da pandemia para a Fleury? O BTG Pactual responde;06/07/2020 - 9:28
80;CEO da Diesel mira sucesso dos anos 90 com marca mais enxuta;05/07/2020 - 14:00
81;Covid-19: Petrobras prorroga teletrabalho até o fim do ano;30/06/2020 - 8:06
82;B2W, Lojas Americanas, Magazine Luiza e Via Varejo: quem pode disparar 59% neste ano?;23/06/2020 - 13:13
83;Ações do setor educacional estão “atrasadas” e oferecem bom potencial, dizem analistas;16/06/2020 - 17:58
84;"Ibovespa perde fôlego e recua com piora externa antes do Fed; aéreas lideram perdas";10/06/2020 - 11:58
85;Patricia Technologies anuncia primeiro cartão de luxo para bitcoin no continente africano;08/06/2020 - 13:34
86;Resultados mostram rápida adaptação da Arezzo em cenário de pandemia, afirma Ágora;28/05/2020 - 14:22
87;Coronavírus: 70% dos brasileiros acreditam que situação voltará ao normal em alguns meses;24/05/2020 - 14:06
88;Trabalhadores sentem-se inseguros no cenário pós-pandemia;18/05/2020 - 18:02
89;Hábito de consumo adquirido na pandemia deve permanecer pós-coronavírus;18/05/2020 - 15:18
90;Claudia Mancini: cadeias de suprimentos levam rasteira da COVID-19 e blockchain pode reerguê-las;18/05/2020 - 13:00
91;E-commerce da Via Varejo tem batismo de fogo com Covid-19, e impõe respeito;14/05/2020 - 16:17
92;Natura vê retomada gradual na Ásia e Europa enquanto América Latina sofre por Covid-19;08/05/2020 - 16:18
93;Cristián Bohn: COVID-19 e as oportunidades de infraestrutura financeira;08/05/2020 - 13:30
94;Ucrânia: usinas de energia nuclear podem ser usadas para mineração de cripto?;06/05/2020 - 15:03
95;Via Varejo: ações disparam 18% após compra da startup ASAPLog;27/04/2020 - 18:15
96;Via Varejo compra empresa de tecnologia logística ASAPLog;27/04/2020 - 9:29
