titulo;tags;ano;mes
A importância da cultura organizacional para a transformação digital;Artigo, Matérias;2020;10
O exit para a Eleva Educação e a transformação digital durante a pandemia: o futuro da Agenda Edu;Matérias;2020;09
Desafios da transformação digital no pós-pandemia;Artigo, Matérias;2020;09
Em tempos de transformação digital, experiência do cliente é fundamental;Matérias;2020;09
Transformação digital em negócios tradicionais: saiba como Nestlé, Boticário e Phillips estão inovando;Inovação, Matérias;2020;08
Globant anuncia aquisição de companhia focada em transformação digital;Fusões e Aquisições, Matérias;2020;08
Crise de covid-19 faz PMEs do mundo inteiro correrem atrás da transformação digital;Coronavírus, Matérias;2020;07
Empresa busca startups para solucionar desafios da transformação digital;Matérias;2020;07
Cogna aposta em transformação digital e se aproxima de startups;Inovação, Matérias;2020;07
Iniciativa quer promover a transformação digital no agronegócio;Inovação, Matérias;2020;06
Cisco e MCTIC fecham parceria para promover transformação digital no Brasil;Inovação, Matérias;2020;05
Transformação digital na marra nos condomínios;Artigo, Coronavírus, Matérias;2020;05
Pesquisa aponta que setor da construção civil está pronto para a transformação digital;Matérias;2020;05
Digitalize-se ou seja contaminado: a transformação digital provocada pela pandemia;Artigo, Matérias;2020;05
Digitalks lança conteúdos para apoiar a transformação digital em meio à pandemia de covid-19;Coronavírus, Matérias;2020;04
Transformação digital focada na personalização dos colaboradores acelera Employer Branding;Artigo, Matérias;2020;03
Sky.One Connect reúne especialistas e discute o impacto da transformação digital nas empresas de software;Inovação, Matérias;2020;03
Sky.One promove evento para discutir o impacto da transformação digital nas empresas de software;Matérias;2020;02
Sapore anuncia aquisição de três startups para acelerar seu projeto de transformação digital;Matérias;2020;01
Transformação digital já é uma realidade;Artigo, Matérias;2019;12
Oracle inaugura espaço com foco em inovação, tecnologia e transformação digital;Matérias;2019;11
Futurecom, evento de Transformação Digital, traz espaço focado em startups e inovação;Matérias;2019;11
A segurança é a principal preocupação na era da transformação digital;Artigo, Matérias;2019;10
Leve sua Startup para expor em um dos maiores eventos de Transformação Digital da América Latina;Matérias;2019;10
Chatbot, UX Writer e outras profissões: como a IA e a transformação digital criam novas profissões;Espaço do Empreendedor;2019;08
Varejo brasileiro está ávido pela transformação digital;Artigo, Matérias;2019;08
Transformação digital e relacionamento entre empresas e pessoas são destaques do Bots4U;Matérias;2019;06
TOTVS e VTEX anunciam joint venture para apoiar empresas brasileiras na transformação digital;Matérias;2019;05
Transformação digital: o varejo do futuro;Matérias;2019;03
CI&T vai conectar startups do CUBO com projetos de transformação digital de grandes marcas;Matérias;2019;02
Brasil e América Latina em 2019: transformação digital ou nada;Artigo, Matérias;2019;01
A transformação digital aplicada ao mercado imobiliário corporativo;Artigo, Matérias;2018;12
Transformação Digital, Cyber Security e Empreendedorismo, veja os destaques do Cisco Live 2018;Matérias;2018;12
Grandes indústrias debatem transformação digital e mudança de mindset no CASE 2018;Matérias;2018;12
Sucesso da transformação digital passa por ajustes, aprendizados e boa dose de ousadia;Espaço do Empreendedor;2018;09
Empresa de transformação digital investe na criação de startups dentro de casa para crescer;Matérias;2018;09
Vivo, Raízen e Ericsson abrem chamada de startups com foco em IoT para impulsionar a transformação digital do agronegócio;Matérias;2018;09
Três perguntas-chave que devem ser feitas antes de iniciar a Transformação Digital na sua empresa;Espaço do Empreendedor;2018;08
Presidenciáveis participam de sabatina e falam sobre transformação digital no Brasil;Matérias;2018;08
7 segredos para o sucesso da transformação digital em PMEs;Artigo, Matérias;2018;08
Soluções Usiminas e consultoria britânica The Bakery se unem em projeto de transformação digital;Matérias;2018;08
Transformação digital em processos de batimento de dados financeiros: um caminho sem volta;Espaço do Empreendedor;2018;06
Quatro tendências que estão movimentando a transformação digital;Artigo, Matérias;2018;06
A tal da “transformação digital” e o relacionamento entre empresas e clientes;Espaço do Empreendedor;2018;05
O quanto a prioridade da transformação digital do CIO brasileiro é distinta daquela de um CIO global?;Matérias;2018;04
Vivo inaugura novo escritório para fomentar transformação digital da companhia;Matérias;2018;04
Transformação digital agora é lei!;Espaço do Empreendedor;2018;04
Seis setores que já estão sentindo os benefícios da transformação digital;Inovação, Matérias;2018;03
Transformação digital: o crescimento não é linear, mas exponencial;Espaço do Empreendedor;2018;02
