;titulo;description;data
0;Negócios que inovaram na pandemia tiveram perdas menores, diz Sebrae;".... Após um treinamento no Sebrae, ela abandonou a ideia de vender em pontos físicos e automatizou o comércio para o digital, usando... — ... principalmente redes sociais. Além disso, contratou uma equipe de funcionárias para fazer a revenda.   

""Com nossa transformação...";há 1 dia
1;Ronaldo Cezar Coelho quer ficar 10 anos na Light e aposta em novo sócio estratégico;"... é apostar intensamente na digitalização e processos.
“Estou falando de uma janela digital que aproxime a nossa relação com as 4,5... — ... Energia Elétrica (Aneel), André Pepitone. O objetivo do encontro, segundo o investidor, é apresentar o “projeto de transformação...";há 1 dia
2;EmbraerX lança a Eve, startup de mobilidade aérea urbana;"... presidente da EmbraerX e chefe de Inovação, Transformação Digital e Novos Negócios da Embraer, Daniel Moczydlower.
Conforme o executivo...";há 2 dias
3;Empresas de tecnologia sugerem cinco nomes para o comando da Autoridade de Dados;"... informação; 4) Governo digital, curadoria e abertura de dados públicos; 5) Economia e transformação digital; 6) Experiência com...";há 2 dias
4;Produção digital;... investimentos em transformação digital continuam acelerados. “Nós monitoramos 350 mil hectares de canaviais com modelos analíticos e... — ... responderam à pesquisa como o principal obstáculo para a expansão da agricultura digital, acima inclusive da conectividade”, comenta...;há 1 dia
5;Máquinas ‘aconselham’ o operador;"... indústria de máquinas agrícolas a fazer esta transformação digital, conta Alexandre Dal Forno, diretor de marketing corporativo e internet das coisas da operadora.... — ... Bayer, com sua plataforma de agricultura digital (Climate FieldView), Trimble, Solinftec, Nokia e TIM.
Trata-se da ConectarAgro...";há 3 dias
6;“É imperativo que as organizações se tornem mais diversas”;"...”, disse.
Entre os impactos do coronavírus nos assuntos corporativos, ele destaca na pandemia a aceleração da transformação... — ... digital nas companhias. “As empresas precisam agora mais do que nunca inovar e serem competitivas”, disse Ryan. A crise gerada pelo...";há 3 dias
7;Maia repete elogios ao governo por restringir reforma administrativa aos novos servidores;"... passada após uma série de embates públicos. 

Para Guedes, a reforma administrativa é uma das dimensões de transformação do Estado... — ... que a reforma administrativa, que foi encaminhada ao Congresso no início de setembro, é uma das dimensões da transformação do Estado...";há 3 dias
8;Precisamos voltar ao comando na internet, defende Kasparov;"... transformação digital. “Cada grande inovação tecnológica sempre ameaçou postos de trabalho e até mesmo indústria inteiras antes de criar... — ... potencial dano à nossa privacidade”, afirma.
A dica para os usuários das redes é começar pelo que ele chama de higienização digital...";há 5 dias
9;Neoenergia oferecerá pagamento de conta de luz pelo Pix a partir de novembro;"....

Transformação digital
A inciativa da Neoenergia faz parte de um processo de transformação digital iniciado pela companhia este ano. O... — ... clientes que recebem a fatura digital. No entanto, a expectativa é que até 2021 todos os 14 milhões de clientes da empresa possam...";09/10/2020 22h50
10;Cultura digital lança novos desafios às empresas;... a aceleração da transformação digital, proliferação de canais e de produtores de conteúdo, como experiências pessoais substituídas... — ...-Cola, a diretora de sustentabilidade e comunicação, Andréa Mota, disse a transformação digital já estava ocorrendo desde 2017...;09/10/2020 08h00
11;Estudantes vão trabalhar para resolver problemas reais em novo programa do governo;"... professores, com o objetivo de prepará-los para um mundo de constante transformação digital, informou o secretário. 
A Embrapii será...";08/10/2020 13h32
12;Espanha lança plano para recuperar economia com energia verde e transformação digital;"... pelo fundo de recuperação pós-covid-19 da União Europeia (UE) em energia verde e transformação digital.

Os planos foram apresentados... — ... 2023 no projeto. Do total, 37% iriam para investimentos verdes e 33% para transformação digital. “Acreditamos que isso adicionará...";07/10/2020 12h14
13;Transações digitais crescem com novas opções ao usuário;"...% mencionaram a “transformação digital” e 73% disseram que é o “compliance regulatório”.
Sobre os pontos que podem ajudar a fortificar... — ... - para pagamentos, 50% já aderiram a um banco digital, enquanto 38% dizem que descobriram um novo provedor de pagamentos durante o...";07/10/2020 08h00
14;Uber viaja 80% menos devido à crise;"...
Embora seja uma empresa do Vale do Silício, a Uber também passou por uma transformação digital durante a pandemia. A empresa, que...";07/10/2020 08h00
15;Japão planeja trocar carimbo e papel por processos digitais até o fim do ano;... que impedem o uso de tecnologia digital. Ele irá promover a transformação digital da sociedade, incluindo em áreas como...;07/10/2020 04h04
16;Recuperação será mais lenta que o pós-crise de 2008, diz Cepal;"... fiscais e monetárias adotadas desde o início da pandemia e promover uma agenda de transformação estrutural. O principal desafio será... — ... digital.

A Cepal também sugere que os países renegociem suas dívidas com credores internacionais e privados para ter mais espaço...";07/10/2020 01h36
17;Ourofino Agrociência investe na oferta de serviços digitais;A brasileira Ourofino  Agrociência se prepara para lançar novos projetos encabeçados por seu grupo de transformação digital...;05/10/2020 23h14
18;Rodadas de aportes na Cortex chegam a R$ 170 milhões;"... Digital, em captação liderada em conjunto com a General Atlantic.
Na Cortex, Riverwood e SoftBank terão a mesma participação e também... — .... “Também tem uma transformação organizacional, cultural, do perfil das pessoas, que é desafiador”, complementa Pires....";05/10/2020 08h00
19;Rodadas de aportes na Cortex chegam a R$ 170 milhões;"... Acesso Digital, em captação liderada em conjunto com a General Atlantic.  

Na Cortex, Riverwood e SoftBank terão a mesma... — ... marketing e vendas”, diz Rangel.  “Também tem uma transformação organizacional, cultural, do perfil das pessoas, que é desafiador”, complementa Pires.  
...";04/10/2020 19h22
20;Pix pode ‘bancarizar’ 30 milhões de pessoas;"... parte dessa população migre com o tempo para soluções de outros provedores e que outra parcela passe a ter alguma conta digital, o... — ... Estrutura do Mercado Financeiro do Banco Central (BC).
“Com o Pix, se você dá uma conta digital para o cliente pagar a fatura de...";02/10/2020 12h04
21;Estrangeiros vão poder participar de licitação de modo direto;..., explicou o secretário, se insere em um conjunto de ações que visam a “transformação digital do Estado”. “Estamos digitalizando...;02/10/2020 08h00
22;País vive ‘apagão humano’ de mão de obra digital, aponta ranking;"Arruda: “Quem decidiu fazer a transformação digital não foi o conselho de administração, e sim a reação à pandemia”
Hugo Cordeiro... — ... Digital elaborado pelo IMD, escola de administração de Lausanne, na Suíça. No entanto, a melhora no ranking não esconde um “apagão...";02/10/2020 08h00
23;Pix pode ‘bancarizar’ 30 milhões de pessoas;"... que parte dessa população migre com o tempo para soluções de outros provedores e que outra parcela passe a ter alguma conta digital... — ... e de Estrutura do Mercado Financeiro do Banco Central (BC).

“Com o Pix, se você dá uma conta digital para o cliente pagar a...";02/10/2020 12h03
24;Órgãos federais contrataram R$ 874 milhões em tecnologia até agosto;"... um edital do Ministério da Economia para a contratação de 350 profissionais de tecnologia que, segundo o governo, irão atuar em processos de transformação digital. 


Pixabay...";01/10/2020 16h22
25;Ranking digital aponta apagão humano no Brasil;... transformação digital não foi o conselho de administração, e sim a reação à pandemia, levando o Brasil a avançar 27 posições no indicador... — O Brasil subiu seis posições e passou para a 51ª colocação entre 63 países no Ranking Global de Competitividade Digital elaborado...;01/10/2020 12h56
26;Mobilização para produzir mais tecnologia;... telemedicina em seu portfólio. Segundo ele, a pandemia acelerou a transformação digital na saúde, centrando a atenção muito na...;02/10/2020 19h23
27;Crise da covid acelera uso de big data e da telemedicina;... Hospital Israelita Albert Einstein ao analisar o ritmo da transformação digital na área da saúde, durante webinar promovido pela... — ... cuidar. “O brasileiro aceita bem os serviços digitais. Mas na área da saúde, que é extremamente regulada, a transformação digital ia...;30/09/2020 08h01
28;Capacidade de planejamento é estratégica no Oswaldo Cruz;"....
Segundo Bastian, os projetos de inovação e transformação digital foram o pilar mais importante nas ações. “Temos uma visão clara dos...";30/09/2020 08h01
29;Acompanhamento remoto traz qualidade de vida;... engloba as ações de transformação digital. “Para nós, é uma coisa só. Tudo o que é feito na área de pesquisa alimenta as soluções... — ... uma delas implementou o pronto-atendimento digital, calibrado para os sintomas da covid-19. O sistema de inteligência artificial...;30/09/2020 08h01
30;Healthtechs se especializam em gestão e marketplaces;... criatividade e na inovação, soluções rápidas e efetivas”, diz o diretor de inovação e transformação digital do Hospital Israelita Albert... — ... crônicas. Mais de mil pacientes já se trataram com o “remédio digital”, que teve o uso comercial autorizado em janeiro pela Agência...;30/09/2020 08h01
31;Agenda BC# moderniza processos em várias frentes;"... do consumidor, não há outra forma de prestação de serviço senão dentro dessa experiência digital.
Os especialistas veem os... — ..., por meio do aplicativo Bitz, que tem a Cielo como parceira. Com o dinheiro da carteira digital dá para fazer pagamentos de contas...";30/09/2020 08h01
32;Papel do varejo é ampliado a partir da virtualização do dinheiro;... mais de um terço já utiliza outros canais para transferir valores. Essa tendência é reforçada pela transformação de varejistas em... — ... Consumoteca. Para ele, o varejo tem um importante papel a desempenhar na alfabetização digital, ao oferecer novas formas de pagamento...;30/09/2020 08h01
33;Advent capta e eleva poder de fogo para compras na AL;... no Brasil. Eles citam as transações recentes com o banco digital Nubank e com a provedora de serviços de transformação digital CI&T... — ... volatilidade contaram ponto. “Temos um histórico de transformação e crescimento com as empresas, somos muito ativos no conselho e próximos...;30/09/2020 08h00
34;CenturyLink agora é Lumen, com ênfase em tecnologia;... global da empresa voltada para transformação digital, segurança e colaboração, de modo que o cliente possa gerenciar tudo... — ... nova face tecnológica é parecido ao que vem sendo adotado pelas grandes operadoras do setor. Para enfatizar sua transformação, a...;30/09/2020 08h00
35;Com alavancagem, Advent tem R$ 30 bi em poder de fogo para compras;... recentes com o banco digital Nubank e com a provedora de serviços de transformação digital CI&T. O fundo global de tecnologia também... — ... histórico de transformação e crescimento com as empresas, somos muito ativos no conselho e próximos às administrações”, afirma...;30/09/2020 00h14
36;Advent vai investir dois terços do fundo novo de US$ 2 bilhões no Brasil;"... provedora de serviços de transformação digital CI&T.

Etlin e Zucchini veem oportunidades de preços com a crise, inclusive com a recente... — ... expertise que vão aplicar para os aportes no Brasil. Eles citam as transações recentes com o banco digital Nubank e com a...";29/09/2020 19h31
37;ACI e Mastercard lançam parceria para solução de pagamento em tempo real;A ACI Worldwide, fornecedora de software e soluções de pagamento digital em tempo real, e a Mastercard anunciaram uma parceria... — ... e transformação da ACI, a parceria é importante em meio à previsão de crescimento do segmento nos próximos cinco anos. “Essa...;29/09/2020 18h17
38;Mercado corporativo será o mais favorecido inicialmente;"...).
O gerente corporativo de tecnologia Marcel Tolentino detalhou no UTCAL Summit a visão digital do grupo, com necessidade de... — ..., via assessoria de imprensa, que a regulamentação de redes privadas associada à chegada do 5G ajuda a consolidar a transformação...";01/10/2020 17h40
39;Experiência digital aprimorada se torna vantagem competitiva;... investiu R$ 12,5 milhões em transformação digital, em 2020. “Devemos totalizar R$ 20 milhões, até dezembro”, diz Matheus Sepulveda... — ... de pagamentos. A chegada das redes 5G pode ajudar na transformação digital, com uma maior velocidade no tráfego de dados, avalia...;29/09/2020 08h01
40;Tecnologia vai acelerar as transformações urbanas;... complexos, especialistas observam que a tecnologia 5G vai possibilitar a transformação digital das cidades, viabilizando uma série de... — ... deve ocorrer no primeiro semestre de 2021. Para eles, a tecnologia será o pilar da transformação digital para diferentes segmentos da economia, e um atraso acarretará enormes prejuízos....;29/09/2020 08h01
41;Logística será favorecida por integração na cadeia de valor;"... setor de logística.
A empresa criou sua própria plataforma voltada à gestão e transformação digital, mas segue em busca de novas... — ... Eric Brenner, presidente da DHL Global Forwarding.
O avanço digital do mercado logístico é global, mas tem nuances no Brasil. A...";29/09/2020 08h01
42;Decisão deve levar em conta interesses e demandas locais;"... consideração as melhores propostas”, afirma.
A transformação digital tem como efeito positivo o aumento da produtividade. Fator do qual o...";29/09/2020 08h01
