;word;count
17;inovação;29
31;tecnologia;26
76;pandemia;25
3;parceria;23
10;plataforma;20
34;varejo;19
20;setor;15
81;crise;14
40;serviços;13
37;coronavírus;12
85;lucro;12
154;negócios;12
54;mercado;11
19;startup;11
53;presidente;11
103;inteligência;10
60;banco;10
94;startups;10
86;trimestre;9
141;serviço;9
39;bancos;9
2;governo;9
125;pagamento;9
72;lojas;8
84;alta;8
331;vendas;8
147;modelo;8
91;clientes;8
38;futuro;8
52;compra;8
199;consumidor;7
12;estratégia;7
122;aporte;7
97;mudanças;6
201;educação;6
79;nuvem;6
13;aquisição;6
318;parcerias;6
0;investimentos;6
27;foco;6
25;venda;6
151;agronegócio;6
106;canais;6
24;sucesso;5
214;saúde;5
117;país;5
195;cliente;5
120;economia;5
330;aumento;5
294;operações;5
64;vagas;5
63;indústria;5
285;negócio;5
62;crédito;5
58;conta;5
269;crescimento;5
98;ganhos;5
137;gestão;4
181;espaço;4
83;comando;4
1;cenário;4
102;uso;4
80;anos;4
152;campo;4
87;plataformas;4
109;soluções;4
191;mundo;4
73;ano;4
46;criação;4
142;compras;4
315;demanda;4
298;aquisições;4
112;testes;4
156;consultoria;4
377;marca;4
50;custo;4
167;projeto;4
390;varejistas;4
15;e-commerce;4
132;liderança;4
316;diretor;3
108;gás;3
183;pessoas;3
107;óleo;3
187;carteira;3
193;experiência;3
155;divisão;3
118;fintech;3
265;processo;3
153;colaboradores;3
149;dados;3
254;alpargatas;3
261;teles;3
168;processos;3
146;marketplace;3
143;entregas;3
119;atendimento;3
215;segmento;3
267;moda;3
209;acesso;3
274;receita;3
297;caixa;3
203;boticário;3
295;comércio;3
95;pão;3
451;programa;3
74;resultados;3
4;ações;3
8;plano;3
32;originação;3
457;investimento;3
422;funcionários;3
48;versão;3
415;vida;3
55;olho;3
386;desafios;3
69;imóveis;3
192;centro;3
100;integração;3
96;açúcar;3
326;instituições;3
345;busca;2
234;planejamento;2
222;transações;2
226;oferta;2
513;tempos;2
501;lançamento;2
231;data;2
232;telemedicina;2
243;fogo;2
237;papel;2
531;hub;2
244;solução;2
252;evolução;2
499;talentos;2
255;operação;2
216;produtos;2
541;aceleração;2
482;sustentabilidade;2
323;capital;2
194;iniciativas;2
590;impactos;2
569;sobrevivência;2
196;chave;2
198;jornada;2
560;formas;2
559;culturas;2
210;general;2
558;hospital;2
202;agenda;2
557;começo;2
206;pesquisa;2
207;construção;2
556;cultura;2
256;desafio;2
466;rock;2
478;impacto;2
374;fundo;2
402;tendência;2
392;tratamento;2
287;comunicação;2
310;modelos;2
376;planos;2
296;marcas;2
309;projetos;2
412;mapa;2
367;cursos;2
299;bmg;2
300;fundadores;2
353;dias;2
303;ativos;2
337;home;2
283;ft;2
273;avanço;2
349;isolamento;2
262;corretores;2
460;cubo;2
258;eficiência;2
453;fusão;2
321;diretoria;2
443;shoppings;2
436;gigante;2
327;ação;2
312;contratações;2
421;faturamento;2
417;tecnologias;2
328;companhias;2
416;líder;2
333;autoleitura;2
271;rodada;2
317;seguros;2
313;g;2
