;titulo;description;data
0;Startups, transformação digital e home office: uma conversa ent...;".... Durante a conversa, discutiram temas como inovação, o ecossistema brasileiro de startups, a transformação digital dos seus negócios, home office... olha os Estados Unidos, é o cenário oposto.”

	
		Transformação digital


	Jorge Paulo Lemann:

	“No nosso caso [na Ambev...";24/09/2020 20h29
1;Como funciona o PIX, a transformação digital do dinheiro;... entre duas pessoas, mas agora na forma digital. Assim, podemos dizer que o PIX é a “transformação digital do dinheiro... e competitividade ao mercado financeiro, possibilitando o surgimento de novos modelos de negócio e impulsionando a transformação digital...;08/09/2020 14h10
2;Coronavírus: a transformação digital de uma empresa de educação...;... NegNews desta terça-feira (15/09) como foi a experiência de integrar 28 mil funcionários no projeto de transformação digital...;15/09/2020 19h45
3;Coronavírus: a transformação de três anos em três meses no Carr...;... de Época NEGÓCIOS? Tenha acesso à versão digital. Quer receber as notícias de Época NEGÓCIOS pelo WhatsApp? Clique neste link...;há 2 dias
4;CEO do Santander Brasil discute liderança e transformação digit...;"..., Sérgio Rial, participa de live promovida por Época NEGÓCIOS para debater o papel da liderança na transformação digital. Também vamos...) a partir das 10h.

	Quer conferir os conteúdos exclusivos edição de setembro/2020 de Época NEGÓCIOS? Tenha acesso à versão digital...";03/09/2020 10h00
5;Como os brasileiros usam as ferramentas digitais;"...
	

	 

	Um levantamento feito ao longo dos últimos 31 anos comprova o processo de transformação digital das empresas... e da sociedade. O estudo aponta que o Brasil tem dois dispositivos digitais por habitante. Só de celulares inteligentes são 234 milhões...";há 4 dias
6;Como a pandemia acelerou a transformação digital da Vivo e da L...;... aos processos de transformação digital. Agora, as companhias buscam novos serviços e modelos de negócios para se adequarem às novas demandas... atendimento aos clientes pelos canais virtuais. Tendo iniciado seu processo de transformação digital em 2013, a empresa se viu mais...;06/08/2020 13h29
7;CEOs da Vivo e da Localiza discutem importância da transformaçã...;"...
	 (Foto: ThinkStock)

	 

	Por que a transformação digital precisa ser prioridade para as empresas? Este é o tema da primeira....

	O evento online acontece nesta quinta-feira (06/08), das 10h às 11h. Acompanhe:

	

	Live debaterá importância da transfor...";06/08/2020 09h40
8;CEOs da Vivo e da Localiza discutem importância da transformaçã...;"... sobre o tema ""Por que a transformação digital precisa ser prioridade para as empresas?"".

	Com mediação de Sandra Boccia, diretora... NEGÓCIOS. Para participar, basta se inscrever gratuitamente.

	Live debaterá importância da transformação digital para empresas (Foto: Editora Globo)

	 

	 ...";04/08/2020 16h54
9;Brasil fica em 51º lugar em ranking global de competitividade d...;"... para colocar em prática a transformação digital nas empresas. Entre os 63 países, o Brasil fica na 60ª posição nesse quesito.

	No... não qualificadas e escassez de talentos para a transformação digital.

	No quesito empreendedorismo, o Brasil avançou da 55 ª posição no...";há 3 dias
